companyCode,emplStatus,workLocation,costCenter,supvEmplId,lastHireDate,originalHireDate,seniorityDate,flsaType,fullPartTime,emplType,jobLevel,jobCode
Company1,Active,"El Dorado Hills, CA",0380,001729   ,"Sep 7, 2010 12:00:00 AM","Sep 7, 2010 12:00:00 AM","Sep 7, 2010 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Denver, CO",0364,001729   ,"Sep 29, 2017 12:00:00 AM","Sep 29, 2017 12:00:00 AM","Sep 29, 2017 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Denver, CO",0364,001729   ,"Jun 20, 2018 12:00:00 AM","Jun 20, 2018 12:00:00 AM","Jun 20, 2018 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Denver, CO",0364,001729   ,"Feb 20, 2018 12:00:00 AM","Feb 20, 2018 12:00:00 AM","Feb 20, 2018 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Oct 31, 2013 12:00:00 AM","Oct 31, 2013 12:00:00 AM","Oct 31, 2013 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Dec 23, 2013 12:00:00 AM","Dec 23, 2013 12:00:00 AM","Dec 23, 2013 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Jan 18, 2018 12:00:00 AM","Jan 18, 2018 12:00:00 AM","Jan 18, 2018 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Apr 28, 2017 12:00:00 AM","Apr 28, 2017 12:00:00 AM","Apr 28, 2017 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Jun 23, 2016 12:00:00 AM","Jun 23, 2016 12:00:00 AM","Jun 23, 2016 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Jul 3, 2014 12:00:00 AM","Jul 3, 2014 12:00:00 AM","Jul 3, 2014 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Nov 15, 2016 12:00:00 AM","Nov 15, 2016 12:00:00 AM","Nov 15, 2016 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Feb 16, 2016 12:00:00 AM","Feb 16, 2016 12:00:00 AM","Feb 16, 2016 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Jan 24, 2019 12:00:00 AM","Jan 24, 2019 12:00:00 AM","Jan 24, 2019 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Feb 13, 2018 12:00:00 AM","Feb 13, 2018 12:00:00 AM","Feb 13, 2018 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
Company1,Active,"Groton, CT",0399,003269   ,"Mar 2, 2017 12:00:00 AM","Dec 31, 2015 12:00:00 AM","Mar 2, 2017 12:00:00 AM",Exempt,Full Time,Contractor/Consultant,6,600474
